A&A,Astronomy And Astrophysics
EDC,EROS Data Center
EDO,Extended Duration Orbiter
EDOMP,EDO Medical Project
EDRS,European Data Relay Satellite
EDS,Electronic Data Systems
EGRET,Energetic Gamma Ray Experiment Telescope
EJASA,Electronic Journal Of The Astronomical Society Of The Atlantic
ELDO,European Launcher Development Organisation
ELV,Expendable Launch Vehicle
EMU,Extravehicular Mobility Unit
ENAC,Energetic Neutral Atom Camera
ENACEOS,ENAC For EOS
ENAP,Energetic Neutral Atom Precipitation
ENSO,El Nino/Southern Oscillation
EODC,Earth Observation Data Centre
EOS,Earth Observing System
EOS,Electrophoresis Operations In Space
EOSP,Earth Observing Scanning Polarimeter
EPD,Energetic Particles Detector
ER,Eastern Range
ERBE,Earth Radiation Budget Experiment
EROS,Earth Resources Observations System
ERS,Earth Resources Satellite
ERS,European Remote Sensing
ERS,Environmental Research Satellite
ESA,European Space Agency
ESIS,European Space Information System
ESO,European Southern Observatory
ESOC,European Space Operations Centre
ESPC,European Space Power Conference
ESRIN,European Space Research Institute
ESRO,European Space Research Organisation
ESTEC,European Space Research And Technology Centre
ET,External Tank
ET,Ephemeris Time
ETE,End-to-End
ETM,Enhanced Thematic Mapper
ETR,Eastern Test Range
EUMETSAT,European Meterological Satellite Organisation
EURECA,European Retrievable Carrier
EUTELSAT,European Telecommunications Satellite Organization
EUV,Extreme UltraViolet
EUVE,Extreme UltraViolet Explorer
EVA,Extravehicular Activity
FAP,Freedom Attached Payloads
FAST,Fast Auroral SnapshoT Explorer
FBV,Fuel Bleed Valve
FEM,Flight-Engineering Model
FFCC,Free-Flyer Control Centre
FFT,Fast Fourier Transform
FGS,Fine Guidance Sensors
FHST,Fixed Head Star Trackers
FIR,Far InfraRed
FIRAS,Far InfraRed Absolute Spectrophotometer
FITS,Flexible Image Transport System
FOC,Faint Object Camera
FOLD,Federally-Owned LANDSAT Data
FOS,Faint Object Spectrograph
FPD,Flight Projects Directorate
FPM,Fiber Pulling In Microgravity
FRC,Flight Research Center
FRED,Space Station Freedom
FRF,Flight Readiness Firing
FRR,Flight-Readiness Review
FRSI,Flexible Reusable Surface Insulation
FTS,Flight Telerobotic Servicer
FUSE,Far Ultraviolet Spectroscopic Explorer
FWHM,Full Width At Half Maximum
GAS,Get-Away Special
GBT,Green Bank Telescope
GC,Galactic Center
GC,Globular Cluster
GCVS,General Catalog Of Variable Stars
GDCLS,General Dynamics Commercial Launch Services
GDS,Great Dark Spot
GEM,Giotto Extended Mission
GEM,Graphite Epoxy Motor
GEO,Geosynchronous Earth Orbit
GEODSS,Ground-based Electro-optical Deep-space Surveillance System
GGM,Goskogidromet/Gidromettsentr
GHA,Greenwich Hour Angle
GHRS,Goddard High Resolution Spectrograph
GIF,Graphics Interchange Format
GISS,Goddard Institute For Space Studies
GLOMR,Global Low-Orbiting Message Relay
GMC,Giant Molecular Cloud
GMRT,Giant Meter-wave Radio Telescope
GMS,Geostationary Meterological Satellite
GMT,Greenwich Mean Time
GNC,Guidance
GOES,Geostationary Orbiting Environmental Satellite
GOMOS,Global Ozone Monitoring By Occultation Of Stars
GOMR,Global Ozone Monitoring Radiometer
GOSAMR,Gelation Of Soils: Applied Microgravity Research
GOX,Gaseous OXygen
GPC,General Purpose Computer
GPPF,Gravitational Plant Physiology Facility
GPS,Global Positioning System
GR,General Relativity
GRO,Gamma Ray Observatory
GRS,Gamma Ray Spectrometer
GRS,Great Red Spot
GRTLS,Glide RTLS
GRU,Glavnoye Razvedivatel'noye Upravileniye
GSC,Guide Star Catalog
GSFC,Goddard Space Flight Center
GSO,GeoSynchronous Earth Orbit
GST,Greenwich Sidereal Time
GTO,Geostationary Transfer Orbit
GUGK,Glavnoye Upravileniye Geodesii I Kartografii
HAINS,High Accuracy Inertial Navigation System
HALOE,Halogen Occultation Experiment
HAO,High Altitude Observatory
HB,Horizontal Branch
HCI,Highes Communications
HCMM,Heat Capacity Mapping Mission
HD,Henry Draper Catalog Entry
HDE,Henry Draper Extension
HDM,Hot Dark Matter
HEAO,High Energy Astronomical Observatory
HERA,Hermes Robotic Arm
HF,High Frequency
HGA,High Gain Antenna
HH,Hitchhiker
HIRDLS,High Resolution Dynamics Limb Sounder
HIRIS,High Resolution Imaging Spectrometer
HIRS,High Resolution Infrared Radiation Sounder
HJD,Helicentric Julian Date
HLC,Heavy Lift Capability
HLV,Heavy Lift Vehicle
HMC,Halley Multicolor Camera
HOTOL,HOrizontal TakeOff And Landing
HPFTP,High Pressure Fuel Turbopump
HPOTP,High Pressure Oxidizer Turbopump
HR,Hertzsprung-Russell
HRDI,High Resolution Doppler Imager
HRI,High Resolution Imager
HRMS,High Resolution Microwave Survey
HRPT,High Resolution Picture Transmission
HRSC,High Resolution Stereo Camera
HRSI,High-temperature Reusable Surface Insulation
HRSR,High-Resolution Scanning Radiometer
HSP,High Speed Photometer
HST,Hubble Space Telescope
HTHL,Horizontal Takeoff Horizontal Landing
HTVL,Horizontal Takeoff Vertical Landing
HUT,Hopkins Ultraviolet Telescope
HV,High Voltage
IAPPP,International Amateur/Professional Photoelectric Photometry
IAU,International Astronomical Union
IAUC,IAU Circular
IBSS,Infrared Background Signature Survey
IC,Index Catalog
ICE,International Cometary Explorer
IDA,International Dark-sky Association
IDL,Interactive Data Language
IFEA,Integrated Furnace Experiment Assembly
IGBP,International Geosphere/Biosphere Programme
IGM,InterGalactic Medium
IGY,International Geophysical Year
IKI,Institut Kosmischeskikh Issledovaniya
IML,International Microgravity Lab
IMO,International Meteor Organization
IMU,Inertial Measurement Unit
INCO,Integrated Communications Officer
INMARSAT,International Maritime Satellite
INTELSAT,International Telecommunications Satellite
IOA,Institute Of Astronomy (Cambridge)
IOBM,In Ocean By Mistake
IOC,In-Orbit Checkout And Calibration
IOTA,Infrared-Optical Telescope Array
IOTA,International Occultation Timing Association
IPAC,Infrared Processing & Analysis Center
IPMP,Investigations Into Polymer Membrane Processing
IPS,Inertial Pointing System
IR,InfraRed
IRAF,Image Reduction And Analysis Facility
IRAS,InfraRed Astronomical Satellite
IRFNA,Inhibited Red Fuming Nitric Acid
ISAMS,Improved Stratospheric And Mesospheric Sounder
ISAS,Institute Of Space AND Astronautical Science
ISEP,Isolated/Stabilized Exercise Platform
ISM,InterStellar Medium
ISO,Imaging Spectrometic Observatory
ISO,Infrared Space Observatory
ISO,International Standards Organization
ISPM,International Solar Polar Mission
ISRO,Indian Space Research Organisation
ISTS,Institute For Space And Terrestrial Science
ISU,International Space University
ISY,International Space Year
ISZ,Iskusstvenniy Sputnik Zemli
IUE,International Ultraviolet Explorer
IUS,Inertial Upper Stage
IVT,Interface Verification Test
JAEL,JSC Avionics Engineering Laboratory
JCMT,James Clerk Maxwell Telescope
JD,Julian Date; Julian Day (Number)
JEM,Japanese Experiment Module
JERS,Japanese Earth Resources Satellite
JGR,Journal Of Geophysical Research
JILA,Joint Institute For Laboratory Astrophysics
JPL,Jet Propulsion Laboratory
JSC,Johnson Space Center
KAO,Kuiper Airborne Observatory
KB,Construction Bureau
KPM,Kometen
KPNO,Kitt Peak National Observatory
KSC,Kennedy Space Center
KTB,Cretaceous-Tertiary Boundary
LAGEOS,Laser Geodynamics Satellite
LANL,Los Alamos National Laboratory
LARC,Langley Research Center
LASCO,Large Angle Spectrometric Coronograph
LC,Launch Complex
LDEF,Long Duration Exposure Facility
LEDA,On-line Earthnet Data Access
LEM,Lunar Excursion Module
LEO,Low Earth Orbit
LERC,Lewis Research Center
LEST,Large Earth-based Solar Telescope
LFC,Large Format Camera
LGA,Low Gain Antenna
LGM,Little Green Men
LH,Liquid Hydrogen
LHA,Local Hour Angle
LIS,Lightning Imaging Sensor
LLNL,Lawrence-Livermore National Laboratory
LM,Lunar Module
LMC,Large Magellanic Cloud
LN2,Liquid Nitrogen
LOX,Liquid OXygen
LPO,La Palma Observatory
LPV,Long Period Variable
LRB,Liquid Rocket Booster
LRSI,Low-temperature Reusable Surface Insulation
LSR,Local Standard Of Rest
LST,Local Sidereal Time
LTP,Lunar Transient Phenomenon
LY,Light Year (usu. Ly)
M,Messier
MACHO,MAssive Compact Halo Object
MACRO,Monopoles
MACS,Modular Attitude Control System
MARS,Series Of Soviet Mars Spacecraft
MAS,Millimeter-wave Atmospheric Sounder
MB,Manned Base
MBB,Messerschmitt-Belkow-Blohm
MCC,Mission Control Center
MCCC,Maragone Convection On Closed Containers
MDSSC,McDonnell Douglas Space Systems Corp
MECO,Main Engine CutOff
MET,Mission Elapsed Time
MEV,Mars Excursion Vehicle
MFPE,Misson From Planet Earth
MFV,Main Fuel Valve
MIMR,Multifrequency Imaging Microwave Radiometer
MISR,Multiangle Imaging Spectro-Radiometer
MITI,Ministry Of International Trade And Industry
MJD,Modified Julian Date
ML,Mobile Launcher
MLI,Multi-Layer Insulation
MLP,Mobile Launch Platform
MLS,Microwave Limb Sounder
MMCC,Mission Management And Control Centre
MMH,MonoMethyl Hydrazine
MMPO,Mission Management And Planning Office
MMS,Multi-mission Modular Spacecraft
MMT,Multiple Mirror Telescope
MMU,Manned Maneuvering Unit
MNRAS,Monthly Notices Of The Royal Astronomical Society
MOC,Mars Observer Camera
MODE,Middeck Zero-Gravity Dynamics Experiment
MODIS,Moderate Resolution Imaging Spectrometer
MODIS-N,MODIS-Nadir
MODIS-T,MODIS-Tilt
MOL,Manned Orbiting Laboratory
MOLA,Mars Observer Laser Altimeter
MOMS,Modular Optoelectronic Multispectral/Stereo Scanner
MOMV,Manned Orbital Maneuvering Vehicle
MOPITT,Measurements Of Pollution In The Troposphere
MOTV,Manned Orbital Transfer Vehicle
MPC,Minor Planets Circular
MPEC,Multi-Purpose Experiment Canister
MPESS,Multiple Purpose Experiment Support Structure
MRIR,Medium Resolution Infrared Radiometer
MRO,Memory Read-Out
MRSR,Mars Rover And Sample Return
MRSRM,Mars Rover And Sample Return Mission
MS,Main Sequence
MSFC,Marshall Space Flight Center
MSOCC,Multisatellite Operations Control Center
MSS,Multispectral Scanner
MSU,Microwave Sounding Unit
MTC,Man Tended Capability
MTFF,Columbus Man-Tended Free-Flyer
MTPE,Mission To Planet Earth
MVI,Microgravity Vestibular Investigation
NACA,National Advisory Committee On Aeronautics
NAS,Numerical Aerodynamic Simulation
NASA,National Aeronautics And Space Administration
NASDA,NAtional Space Development Agency
NASM,National Air And Space Museum
NASP,National AeroSpace Plane
NBS,National Bureau Of Standards
NDV,NASP Derived Vehicle
NERVA,Nuclear Engine For Rocket Vehicle Application
NESDIS,National Environmental Satellite Data And Information Service.
NGC,New General Catalog
NGT,NASA Ground Terminal
NICMOS,Near Infrared Camera/Multi Object Spectrometer
NIMS,Near Infrared Mapping Spectrometer
NIR,Near InfraRed
NIST,National Institute For Standards And Technology
NLDP,National Launch Development Program
NOAA,National Oceanic And Atmospheric Administration
NOAO,National Optical Astronomy Observatories
NOCC,Network Operations Control Center
NORAD,NORth American Aerospace Defense
NPO,Scientific Production Organization
NPOE,NPO Energiya
NPO-PM,NPO Prikladnoi Mekhaniki
NRAO,National Radio Astronomy Observatory
NRL,Naval Research Laboratory
NRO,National Reconnaissance Office
NRSC,National Remote Sensing Centre
NRSC,National Remote Sensing Centre
NS,Neutron Star
NSA,National Security Agency
NSF,National Science Foundation
NSI,NASA Science Internet / NASA Standard Initiator / National Environmental Satellite Data And Information Service
NSO,National Solar Observatory
NSSDC,National Space Science Data Center
NTR,Nuclear Thermal Rocket(ry)
NTT,New Technology Telescope
OAO,Orbiting Astronomical Observatory
OARE,Orbital Acceleration Research Experiment
OCGF,Organic Crystal Growth Facility
OCST,Office Of Commercial Space Transportation
OCTS,Ocean Color And Temperature Scanner
OCTW,Optical Communications Through The Shuttle Window
OGO,Orbiting Geosurvey Observatories
OMB,Office Of Management And Budget
OMDP,Orbiter Maintenance Down Period
OMS,Orbital Maneuvering System
OPF,Orbiter Processing Facility
ORBI,Stock Ticker Symbol For OSC
ORFEUS,Orbiting And Retrievable Far And Extreme Ultraviolet Spectrometer
OSC,Orbital Sciences Corporation
OSCAR,Orbiting Satellite Carrying Amateur Radio
OSS,Office Of The Space Station
OSSA,Office Of Space Science And Applications
OSSE,Oriented Scintillation Spectrometer Experiment
OSTP,Office Of Science And Technology Policy
OTA,Optical Telescope Assembly
OTFE,Oscillatory Thermocapillary Flow Experiment
OTHB,Over The Horizon Backscatter
OTV,Orbital Transfer Vehicle
OV,Orbital Vehicle
PAM,Payload Assist Module
PAM-D,Payload Assist Module
PARE,Physiological And Anatomical Rodent Experiment
PASS,Primary Avionics Software System
PC,ParseC (usu. Pc)
PCG,Protein Crystal Growth Experiment
PCGG,PCG Glovebox
PCT,Photometric Calibration Test
PDE,Particle Dispersion Experiment
PDRS,Payload Deployment And Retrieval System
PDS,Planetary Data System
PEM,Payload Electronics Module
PEM,Particle Environment Monitor
PHA,Physics And Astronomy
PI,Principal Investigator
PLB,Payload Bay
PLBD,Payload Bay Doors
PLSS,Portable Life Support System
PM,Pressurized Module
PMC,Permanently Manned Capability
PMIRR,Pressure Modulated InfraRed Radiometer
PMS,Pre-Main Sequence
PMT,PhotoMultiplier Tube
PN,Planetary Nebula
POCC,Payload/Platform Operations Control Center
POEM,Polar Orbiting Earth Mission
POP,PO Polyot
PPF,Columbus Polar Platform
PPM,Positions And Proper Motions (catalog)
PRTLS,Powered RTLS
PSF,Point Spread Function
PSR,PulSaR
PTC,Passive Thermal Control
PV,Photovoltaic
PVO,Pioneer Venus Orbiter / Protivo-Vosdushniya Oborona
QSO,Quasi-Stellar Object
RA,Right Ascension
RAE,Royal Aerospace Establishment
RAL,Rutherford-Appleton Laboratory
RAS,Royal Astronomical Society
RASC,Royal Astronomical Society Of Canada
RCC,Reinforced Carbon-Carbon
RCI,Rodent Cage Interface
RCS,Reaction Control System / Revision Control System
RCT,Radiometric Calibration Target
REM,Rat Enclosure Module
RESTEC,Remote Sensing Technology Center
RF,Radio Frequency
RFI,Radio Frequency Interference
RFM,Reconfigurable Furnace Module
RFNA,Red Fuming Nitric Acid
RG,Red Giant
RGB,Red Giant Branch
RHC,Rotational Hand Controller
RIACS,Research Institute For Advanced Computer Science
RKA,Rossiskoye Kosmicheskoye Agentsvo
RMCD,Radaiation Monitoring Container Device
RME,Radiation Monitoring Experiment
RMS,Remote Manipulator System
RNGC,Revised New General Catalog
ROSAT,ROentgen Satellite
ROUS,Rodents Of Unusual Size
RPM,Retro Propulsion Module
RSN,Radio SuperNova
RTG,Radioisotope Thermoelectric Generator
RTLS,Return To Launch Site
RVSN,Raketniye Voiska Stratigcheskovo Naznacheniya
S,Spiral (for Galaxies)
S/C,SpaceCraft
SAA,South Atlantic Anomaly / Single Access Antenna
SAGA,Solar Array Gain Augmentation
SAIL,Shuttle Avionics Integration Laboratory
SAM,Shuttle Activation Monitor
SAMPEX,Solar Anomalous And Magnetospheric Particle EXplorer
SAMS,Space Acceleration Measurement System
SAO,Smithsonian Astrophysical Observatory
SAR,Search And Rescue / Synthetic Aperture Radar
SARA,Satellite Pour Astronomie Radio Amateur
SAREX,Search And Rescue Exercise / Shuttle Amateur Radio Experiment
SAS,Space Activity Suit / Space Adaptation Syndrome
SAT,Synthetic Aperture Telescope
SB, Spiral
SBIR,Small Business Innovation Research
SCA,Shuttle Carrier Aircraft
SCT,Schmidt-Cassegrain Telescope
SDI,Strategic Defense Initiative
SDIO,Strategic Defense Initiative Organization
SDSS,Sloan Digital Sky Survey
SECO,Sustainer Engine Cutoff
SEDS,Students For The Exploration And Development Of Space
SEI,Space Exploration Initiative
SEM,Space Environment Monitor
SEP,Societe Europeenne De Propulsion
SEPAC,Space Experiments With Particle Accelerators
SEST,Swedish ESO Submillimeter Telescope
SETI,Search For ExtraTerrestrial Intelligence
SHARE,Space Station Heat Pipe Advanced Radiator Element
SID,Sudden Ionospheric Disturbance
SIR,Shuttle Imaging Radar
SIRTF,Space InfraRed Telescope Facility
SIXA,Silicon X-ray Array
SL,(Comet) Shoemaker-Levy / SpaceLab
SLAP,Space Link Access Protocol
SLAR,Side-Looking Airborne Radar
SLC,Space Launch Complex
SLF,Shuttle Landing Facility
SL-J,SpaceLab Japan
SLS,Space(lab) Life Sciences
SMC,Small Magellanic Cloud
SME,Solar Mesosphere Explorer
SMEX,Small EXplorers
SMM,Solar Maximum Mission
SMS,Shuttle Mission Simulator
SN,SuperNova
SNG,Sodruzhestva Nezabisimikh Gosudarst
SNR,Signal To Noise Ratio / SuperNova Remnant
SNU,Solar Neutrino Units
SOB,Strap-On Booster
SOCC,Satellite Operations Control Center
SOFI,Spray-on Foam Insulation
SOFIA,Stratospheric Observatory For Infrared Astronomy
SOHO,SOlar Heliospheric Observatory
SOLSTICE,Solar Stellar Irradiance Comparison Experiment
SPAN,Space Physics And Analysis Network
SPARTAN,Shuttle Pointed Autonomous Research Tool For Astronomy
SPAS,Space Pallet Satellite
SPDM,Special Purpose Dextrous Manipulator
SPH,Smoothed-Particle Hydrodynamics
SPOT,Systeme Probatoire Pour L'Observation De La Terre
SPS,Solar Power Satellite
SPTN,SPARTAN
SR,Special Relativity
SRB,Solid Rocket Booster
SRM,Solid Rocket Motor
SSBUV,Shuttle Solar Backscatter Ultraviolet Experiment
SSCE,Solid Surface Combustion Experiment
SSF,Space Station Freedom
SSI,Solid-State Imager / Space Studies Institut
SSME,Space Shuttle Main Engine
SSO,Spurious Shut-off
SSPF,Space Station Processing Facility
SSPO,Space Shuttle Program Office
SSPS,Sky Survey Prototype System
SSRMS,Space Station Remote Manipulator System
SSRT,Single Stage Rocket Technology
SSRV,Solar-Sail Race Vehicle
SST,Spectroscopic Survey Telescope / SuperSonic Transport
SSTO,Single Stage To Orbit
STARCAL,Star Calibration
STC,Stennis Test Center
STC,SHAPE Technical Center
STDCE,Surface Tension Driven Convection Experment
STIKSCAT,Stick Scatterometer
STIS,Space Telescope Imaging Spectrometer
STS,Shuttle Transport System / Space Transportation System
STSCI,Space Telescope Science Institute
STSDAS,Space Telescope Science Data Analysis System
SUSIM,Solar Ultraviolet Spectral Irradiance Monitor
SWAN,Solar Wind Anisotropy Experiment
SWAS,Submillimeter Wave Astronomy Satellite
SWF,ShortWave Fading
SWLC,Salt Water Leak Check
TAI,International Atomic Time
TAL,Transatlantic Abort Landing
TAU,Thousand Astronomical Unit
TCM,Trajectory Control Maneuver
TCS,Thermal Control System
TDRS,Tracking And Data Relay Satellite
TDRSS,Tracking And Data Relay Satellite System
TDT,Terrestrial Dynamic Time
TEA,Torque Equilibrium Attitude
TES,Thermal Emission Spectrometer
THIR,Temperature/Humidity Infrared Radiometer
TIG,Time Of (until) Ignition
TIROS,Television InfraRed Observation Satellite
TKSC,Tsukuba Space Center
TM,Thematic Mapper
TOMS,Total Ozone Mapping Spectrometer
TOPEX,Ocean Topography Experiment
TOPS,Toward Other Planetary Systems
TOS,Transfer Orbit Stage
TPCE,Tank Pressure Control Experiment
TPS,Thermal Protection System
TRMM,Tropical Rainfall Measuring Mission
TSM,Tail Service Mast
TSPK,Tsentr Podgotovka Kosmonavti
TSS,Targeted Search System / Tethered Satellite System
TSTO,Two Stage To Orbit
TSUP,Tsentr Upravileniya Polyoti
TTC,Telemetry
TWTA,Travelling Wave Tube Amplifier
U3P,Union Pour La Promotion De La Propulsion Photonique
UARS,Upper Atmosphere Research Satellite
UBM,Unpressurized Berthing Mechanism
UDMH,Unsymmetrical DiMethyl Hydrazine
UFO,Unidentified Flying Object
UGC,Uppsala General Catalog
UHF,Ultra High Frequency
UIT,Ultraviolet Imaging Telescope
UKST,United Kingdom Schmidt Telescope
UOSAT,University Of Surrey Satellite
UPPP,Union Pour La Promotion De La Propulsion Photonique
USA/RC,Universities Space Automation/Robotics Consortium
USAF,United States Air Force
USMC,United States Marine Corps
USML,United States Microgravity Laboratory
USMP,United States Microgravity Payload
USN,United States Navy
USO,Ultra-Stable Oscillator
UT,Universal Time
UTC,Coordinated Universal Time
UV,Ultraviolet
UVPI,Ultraviolet Plume Instrument
UVS,Ultraviolet Spectrometer
VAB,Vehicle Assembly Building
VAFB,Vandenberg Air Force Base
VAS,VISSR Atmospheric Sounder
VECO,Vernier Engine Cutoff
VEEGA,Venus-Earth-Earth Gravity Assist
VFT,Visual Function Tester
VHF,Very High Frequency
